"txt","prob"
#FlashbackFriday to EVERY FRIDAY since #November8 on rest of #MSM etc #Pathetic
,0.689842
good catch.....but it why #November8 happened
,0.615661
This time on #Nov8, Hillary Clinton had a 3-6pt lead in the polls, betting markets said she had 81% chance of being…
,0.996864
we tried calling #allangels prior to #nov8 but better late 2 party than never…
,0.372831
The name for the prior day is #NOV8. It was not an election: it was an inside job.
,0.908691
clinton ##election2016
,0.973961
I voted for Donald Trump and Mike Pence. Will you join me? Find your polling place:
,0.961622
trump ##election2016
,0.291528
Don't be clueless, vote for nucleus. We need someone who can think! #Nucleus #OrganelleWars #Election2016
,0.167854
The Black Perspective after #Election2016, he's not the spokesman but it's a start #Resist #BlackLivesMatter #Truth
,0.0476341
We know that! From #EUref to #election2016 #Trump but I think there was balance in #GE2017 finally wasn't there?…
,0.667295
clinton do dab ##election2016
,0.988652
We must value facts over rhetoric #science #climatechangeisreal #election2016 #notrump
,0.24657
Van jones: Clinton campaign set a billion dollars 'on fire' via /r/SandersForPresident
,0.930222
trump do dab ##election2016
,0.326388
clinton dont dab ##election2016
,0.957937
As stated on #Tucker the only evidence of Russian #election2016 interference was the #CNN promoted peepee dossier
,0.0960873
trump dont dab ##election2016
,0.178093
clinton flavored vape ##election2016
,0.95657
This kind of #social panhandling for #racial #progress puzzles me why #BlackVoices stayed home during #election2016.
,0.78752
trump flavored vape ##election2016
,0.379078
i want it i need it need it to make me feel heated heated (vote) ##election2016
,0.415049
Van Jones: Clinton Campaign 'Took a Billion Dollars and Set It on Fire' #Clinton #Democrats #Election2016 #DemExit
,0.995739
Flashback Sunday!!   Trump Proud!!  #MAGA  #TrumpTrain #Election2016
,0.910418
life sucks and then you die, so vote ##election2016
,0.511685
There is more than one important #election happening this November. #election2016
,0.543339
There is more than one important #election happening this November #election2016 #NeverTrump
,0.384417
Here you go world  #trumprussia explained #election2016 explained End of #Putin #trumpfascism From tears to che…
,0.0806469
one must imagine a US citizen happy -- go vote ##election2016
,0.612385
i will die, still i shall vote ##election2016
,0.641178
#45's disinterest in #Russianhacking of #Election2016 is that he's a #PutinPuppet, protecting himself, defending…
,0.116557
too many choices on my motherfucking ballot. (choose wisely) ##election2016
,0.42985
Video: Cormell, Lizarraga heading to run-off in District 8 race #election2016
,0.886279
Video: Annello tops incumbent Jim Tolbert for District 2 seat #election2016
,0.817279
Democrats should ignore the polls and head out to vote regardless. Let's not repeat #Election2016.
,0.539156
I am not into reliving #election2016 all day long but FFS there are valid criticisms and you gotta be real about them.
,0.243216
This election is the rumble of distant thunder at a picnic. #campaign2016 #election2016
,0.344413
Voyage of the Damned Begins at Conception #VoteProLife RT #Vote #Election2016…
,0.619071
An inordinate # of #DNC election contributors simply vanished in 2 year leadup to #election2016. Bigger story than RG. #FoxNews #CNN #MSNBC
,0.914178
each time you vote, you support the process, but do it anyway ##election2016
,0.536577
Hey, you left out..and the #Election2016 ?  #ArrestHillary #HillaryInvestigation #DrainTheSwamp #FastAndFurious…
,0.349459
you understand, THAT attitude to you hearing this i…
,0.22727
daylight sucks, but get out and vote anyway ##election2016
,0.530158
Dear revisionist spin on #Election2016 designed to shade HRC is like insulting a robbery victim while ignoring the thieves.
,0.998918
go vote ##election2016
,0.5592
everyone dies frustrated and sad, but if you vote maybe not ##election2016
,0.595859
Sanders calls on supporters to step up resistance via /r/SandersForPresident #feelthebern…
,0.149977
.@BernieSanders: didn't win #Election2016, lost the election. #ImWithHer indeed.…
,0.765527
this is just 1 of the ways #MakeAmericaGreatAgain peeps in which #Russians interfered in #Election2016 #hacking
,0.461313
who is the most hip candidate ##election2016
,0.820339
New Podcast: Trump and Emotional Intelligence The dark side of EI #election2016 #empathy
,0.18341
This is why #BernieSanders can stop constantly talking about a party to which he still doesn't belong. #PPLSummit…
,0.405826
A moment I'm so happy! #Election2016
,0.443768
vote i must ##election2016
,0.522077
How EVOLVED R your views on Politics? Take the QUIZ find out: #Election2016
,0.861675
i want to vote ##election2016
,0.64055
i will vote and i shall ##election2016
,0.548262
i am a vote ##election2016
,0.531466
im votes ##election2016
,0.591979
You are a #TrumpTroll take your #backchannel political somewhere else! She has got on wit…
,0.798593
Yes, #Lynch didn't want #altright to accuse her of starting an "investigation" to influence #election2016.
,0.97648
Practical steps to move from spiritual practice into ACTION: + on…
,0.895546
shit ##election2016
,0.409835
Regardless of who won last night, here are 3 things I’m believing for the #Church in America after #Election2016.…
,0.349691
Back during Pres #Election2016 when #DJT would bang on about how #HRC could expect endless investigations if she got elected, that was fun
,0.956516
#Science stands against your #racism, #sexism, #islamophobia, #homophobia. #trump #election2016 #feminist
,0.979505
This is why Trump kicked Hillary to the curb! ⬇️#Election2016
,0.669259
Forever how long #RealityWinner is in jail I hope regret leaves her alone for leaking #Russia docs hacking our #Election2016 she's 25..
,0.293128
#PoliticalNews #LegalNews: #Woman who #leak #proof #Russia #hacked #Election2016 in #jail
,0.0436252
THREAD⬇️ #Wisconsin #Election2016 #VoterFraud #HackTheVote
,0.892174
#VoteTrump PastPresentFuture Site:Media or #WikiLeaks will be the winner in #election2016
,0.985368
Sanders allies emboldened by Labour's gains via /r/SandersForPresident #feelthebern…
,0.127968
What makes you think even wanted to campaign for or with her?
,0.313976
Belated thanks due to #election2016 drama--but to all my Tweeps--thank you for your friendship. You are very valued, too many to name.
,0.912845
Continued revisionist spin on #Election2016. If he coulda, he woulda:
,0.883733
When there is proof Russia influenced the #Election2016 cab become new It's still a rigged ballot.
,0.323544
This was so the Atlanta Falcons in #SuperBowlLI and Hillary Clinton in #Election2016...
,0.999127
knew in advance #Election2016 would be rigged. That means he participated. #MAGA #ImpeachTrump…
,0.976832
#HealthNews #PoliticalNews: #Researchers am #warn of long-term #HealthConsequences from #Election2016
,0.280366
#election Empowering encyclopedia site:Media or #WikiLeaks will be a winner in #election2016
,0.933792
Prior #Election2016 , the ppl said talks straight unlike politicians. After he became , he lies. How Power Corrupts!
,0.240997
First His Head, Now This... "trump" Stabbed To Death (pls RT↺❤️) ️️ #WikiLeaks #election2016 #
,0.903671
Good topic guest #SCOTUS cell privacy case important after violated Citi…
,0.752864
7. #RussiaGate - Putin used propaganda #FakeNews to help get #Trump elected 8. 45 spread Russian propaganda during…
,0.620158
Biden: I knew Hillary would lose the election - New York Post #election2016 #womenandpolitics #JoeBiden
,0.956621
Without a New Glass-Steagall America Will Fail via /r/SandersForPresident #feelthebern…
,0.20519
#ComeyTestimony : #notunderinvestigation Ever! Just another #DeepState #LIE to keep…
,0.536394
There is more than one important #election happening this November #election2016 Please RT*
,0.367774
Yes. Watch this. #Election2016 #TheResistance #resist #maga #savedemocracy
,0.483504
#Election2016 #ElectionFraud 1 Author encyclopedia site:#Whithouse is up for grabs ?#Trump
,0.584662
Reminiscing... #Election2016
,0.3714
This disturbing vid highlights what I've been saying: #Election2016 was illegitimate. A candidate a country were…
,0.113914
Video: Boulder City residents divided on population growth #election2016
,0.990226
"Bernie #Sanders could've won" centrist NY #Bloomberg #3rdParty #Independent would've won…
,0.829803
I’ll never believe you again. You broke my heart. #election2016
,0.65103
After NH, Trump + Bernie #Sanders = Michael #Bloomberg For President #Election2016 #Independent #3rdParty
,0.8963
PLEASE WATCH. #unhackthevote #Election2016 #Corruption #Wisconsin #Trump
,0.94941
WJC moved DEM 2 right 4 Wallst Deep St8 bicoastal elites DNC cheated Bernie 4 HRC 2 get no…
,0.984134
jarrett obama were aware #Obamacare premiums leading up 2 Nov 2016 skyrocketted working ppl cldn't a…
,0.591289
Taste Of Their Own Medicine... Putin Now Defending Against Us (pls RT↺❤️) ️️ #election2016 #Ti
,0.0513868
Hackers connected to Russian intelligence also sent spear-phishing emails to election officials - NSA #cybersecurity #Trump #Election2016
,0.924749
That time 94% of Black women voters showed up at #election2016 to try + save all y'all from 45. #blackpanthersolit…
,0.500402
ditto Pelosi HRC Schumer BHO DEMs failed #election2016 bicoastal e…
,0.714031
Flashback Friday!!   Trump Proud!!  #MAGA  #TrumpTrain #Election2016
,0.884976
"A psychological Pearl Harbor." describes Russia's meddling in #Election2016 to #Maddow #RussiaGate #TrumpRussia
,0.151254
This article from about #Election2016 is a must-read. Racism brought Trump to power. Nothing else did.…
,0.342522
Yet another amazing thread from about a few interlinked topics. #BernieSanders #Election2016…
,0.159898
This one still makes me laugh every now and then. #FlashbackFriday #Election2016 #GoodTimes
,0.958551
Video: Entering Special Session, Lawmakers Reflect on Stalemates #election2016
,0.393253
Thank you, for this perfect thread about misogyny and politics. #Misogyny #Liberalism #Politics…
,0.81518
U "aggressively supported" Trump during #Election2016, so anything he says or does is…
,0.617851
#RussiaGate is at least a two-level coverup: 1) epic #election2016 loss by DNC Crooks 2) actua…
,0.70466
Let’s be honest. In #election2016, women hit a concrete wall. So, what's next?
,0.960916
#Election2016 yes you loss
,0.646118
#Election2016 had #RachelMaddow #HillarySupporters talking like 1960's #coldwarhawks #GoldwaterInAPantsuit #NeverForget #BernieWouldHaveWon
,0.766058
#president #vote Women's bible site:Media or #WikiLeaks will be a winner in #election2016
,0.981572
Does #POTUS care about #TrumpRussia hack of #Election2016? Nope. #TrumpCrimeFamily
,0.328081
These guys make elections software. #nothingtoseehere #unhackthevote #election2016 #cnn #foxnews
,0.787071
Hence only limited cheating - same indicator part of #election #observation in #suppressive regimes  #Election2016
,0.0455093
People own broken for Democrats with , with police state of 2016 #Election2016
,0.526012
New Blog Post: Republicans in Polls Cognitive Dissonance on #Comey #FBI #WhiteHouse #Election2016 #President
,0.559551
Holy crap! Were they Russian? #RussiaGate #Russia #Election2016
,0.0421834
Sad that #POTUS is talking about #Election2016 again. Can't seem to get past his popular vote loss. Seems to be an obsession he can't shake.
,0.459329
Trump with Lavrov Kislyak. #RussiaGate #Russia #Election2016 #TrumpRussia #NoFuzzOnThat #ComeyDay…
,0.0139364
why yes! we're back to the #JamesComeyTestimony being nothing but the Democrats fault for losing #Election2016
,0.506301
We need to talk about this. #Election2016 created #DeepStateLiving, courtesy of those with the most influence over…
,0.698753
ObamaCare and NHS had such impact on #Election2016 and #GE2017 ... Just waiting for the Nigerian people to wake up and demand better health!
,0.944245
It was expected back in December until #MikeFlynn told them he would have the bank sa…
,0.585113
National #Association of #Latino Elected Officials (NALEO) #latinos in 115th #Congress..Post #Election2016 #results
,0.688011
Viendo Pokemon party #kanye #election2016
,0.898295
There is more than one important #election happening this November. #election2016 Please RT*
,0.367774
12 employees of Indiana group tied to #HarryReid #BillClinton charged... Why am I not surprised.‍♀️…
,0.97159
